,person_id,age,sex,household_id,workplace_id,district_id,economic_status,school_goers
547501,547501,14,Male,134920000.0,2_student_629,2,student,1
420943,420943,84,Male,103481000.0,57_student_50,57,student,0
441550,441550,19,Female,108284000.0,56_student_75,56,student,1
359084,359084,8,Male,88829000.0,none,50,inactive,0
263417,263417,40,Female,65713000.0,28_student_86,28,student,0
561582,561582,44,Male,138663000.0,2_manu_mining_trades_164,2,manu_mining_trades,0
261689,261689,8,Female,65265000.0,none,28,inactive,0
500490,500490,32,Female,123034000.0,36_informal_petty_trade_1,36,informal_petty_trade,0
117364,117364,2,Female,29513000.0,none,10,inactive,0
539278,539278,26,Male,132456000.0,2_manu_mining_trades_224,2,manu_mining_trades,0
543867,543867,33,Female,133844000.0,2_student_259,2,student,0
36321,36321,23,Female,9511000.0,3_subsistence_ag_357,3,subsistence_ag,0
320033,320033,3,Female,79590000.0,none,40,inactive,0
65084,65084,20,Female,16322000.0,5_student_35,5,student,0
450955,450955,50,Female,110777000.0,57_healthcare_social_work_13,57,healthcare_social_work,0
307586,307586,55,Male,76512000.0,26_office_worker_2,26,office_worker,0
73538,73538,31,Male,18423000.0,6_subsistence_ag_565,6,subsistence_ag,0
51732,51732,98,Female,13246000.0,5_student_35,5,student,0
638082,638082,18,Male,158425000.0,6_subsistence_ag_487,6,subsistence_ag,0
531820,531820,5,Male,130498000.0,none,2,inactive,0
188048,188048,5,Male,46947000.0,none,18,inactive,0
88436,88436,28,Male,21967000.0,none,7,unemployed_not_ag,0
360060,360060,26,Male,89043000.0,none,48,unemployed_not_ag,0
534135,534135,8,Male,131092000.0,none,2,inactive,0
204287,204287,18,Male,51159000.0,20_student_7,20,student,1
554662,554662,26,Male,136747000.0,none,2,unemployed_not_ag,0
236239,236239,4,Female,59254000.0,none,18,inactive,0
582205,582205,61,Male,143949000.0,2_office_worker_157,2,office_worker,0
362570,362570,54,Female,89645000.0,48_subsistence_ag_107,48,subsistence_ag,0
244141,244141,5,Female,61217000.0,none,26,inactive,0
154226,154226,49,Male,38463000.0,14_student_49,14,student,0
44473,44473,9,Male,11405000.0,none,4,inactive,0
349756,349756,33,Female,86637000.0,46_healthcare_social_work_5,46,healthcare_social_work,0
512333,512333,19,Female,125782000.0,37_subsistence_ag_448,37,subsistence_ag,0
281960,281960,10,Male,70082000.0,31_student_48,31,student,1
