,time,myId,metric_died_count,metric_new_hospitalized,metric_new_critical,metric_new_cases_asympt,metric_new_cases_sympt,metric_new_deaths,districtId,seed
2742,45,d_60,0,0,0,0,0,0,60,198010m
2743,45,d_49,0,0,0,0,0,0,49,198010m
2744,45,d_14,0,0,0,0,0,0,14,198010m
2745,45,d_58,0,0,0,0,0,0,58,198010m
2746,45,d_15,0,0,0,0,0,0,15,198010m
2747,45,d_59,0,0,0,0,0,0,59,198010m
2748,45,d_12,0,0,0,0,0,0,12,198010m
2749,45,d_56,0,0,0,0,0,0,56,198010m
2750,45,d_13,0,0,0,2,2,0,13,198010m
2751,45,d_57,0,0,0,0,0,0,57,198010m
2752,45,d_10,0,0,0,0,0,0,10,198010m
2753,45,d_54,0,0,0,0,0,0,54,198010m
2754,45,d_11,0,0,0,0,0,0,11,198010m
2755,45,d_55,0,0,0,0,0,0,55,198010m
2756,45,d_52,0,0,0,0,0,0,52,198010m
2757,45,d_53,0,0,0,0,0,0,53,198010m
2758,45,d_50,0,0,0,0,0,0,50,198010m
2759,45,d_51,0,0,0,0,0,0,51,198010m
2760,46,d_38,0,0,0,0,0,0,38,198010m
2761,46,d_39,0,0,0,0,0,0,39,198010m
2762,46,d_47,0,0,0,0,0,0,47,198010m
2763,46,d_48,0,0,0,0,0,0,48,198010m
2764,46,d_45,0,0,0,0,0,0,45,198010m
2765,46,d_46,0,0,0,0,0,0,46,198010m
2766,46,d_43,0,0,0,0,0,0,43,198010m
2767,46,d_44,0,0,0,0,0,0,44,198010m
2768,46,d_2,0,0,0,1,0,0,2,198010m
2769,46,d_41,0,0,0,0,0,0,41,198010m
2770,46,d_1,0,0,0,0,0,0,1,198010m
2771,46,d_42,0,0,0,0,0,0,42,198010m
2772,46,d_4,0,0,0,0,0,0,4,198010m
2773,46,d_3,0,0,0,0,0,0,3,198010m
2774,46,d_40,0,0,0,0,0,0,40,198010m
2775,46,d_6,0,0,0,0,0,0,6,198010m
2776,46,d_5,0,0,0,0,0,0,5,198010m
2777,46,d_8,0,0,0,0,0,0,8,198010m
2778,46,d_7,0,0,0,0,0,0,7,198010m
2779,46,d_9,0,0,0,0,0,0,9,198010m
2780,46,d_29,0,0,0,0,0,0,29,198010m
2781,46,d_27,0,0,0,0,0,0,27,198010m
2782,46,d_28,0,0,0,0,0,0,28,198010m
2783,46,d_36,0,0,0,0,0,0,36,198010m
2784,46,d_37,0,0,0,0,0,0,37,198010m
2785,46,d_34,0,0,0,0,0,0,34,198010m
2786,46,d_35,0,0,0,0,0,0,35,198010m
2787,46,d_32,0,0,0,0,0,0,32,198010m
2788,46,d_33,0,0,0,0,0,0,33,198010m
2789,46,d_30,0,0,0,0,0,0,30,198010m
2790,46,d_31,0,0,0,0,0,0,31,198010m
2791,46,d_18,0,0,0,0,0,0,18,198010m
2792,46,d_19,0,0,0,0,0,0,19,198010m
2793,46,d_16,0,0,0,0,0,0,16,198010m
2794,46,d_17,0,0,0,0,0,0,17,198010m
2795,46,d_25,0,0,0,0,0,0,25,198010m
2796,46,d_26,0,0,0,0,0,0,26,198010m
2797,46,d_23,0,0,0,0,0,0,23,198010m
2798,46,d_24,0,0,0,0,0,0,24,198010m
2799,46,d_21,0,0,0,0,0,0,21,198010m
2800,46,d_22,0,0,0,0,1,0,22,198010m
2801,46,d_20,0,0,0,0,0,0,20,198010m
2802,46,d_60,0,0,0,0,0,0,60,198010m
2803,46,d_49,0,0,0,0,0,0,49,198010m
2804,46,d_14,0,0,0,0,0,0,14,198010m
2805,46,d_58,0,0,0,0,0,0,58,198010m
2806,46,d_15,0,0,0,0,0,0,15,198010m
2807,46,d_59,0,0,0,0,0,0,59,198010m
2808,46,d_12,0,0,0,0,0,0,12,198010m
2809,46,d_56,0,0,0,0,0,0,56,198010m
2810,46,d_13,0,0,0,1,0,0,13,198010m
2811,46,d_57,0,0,0,0,0,0,57,198010m
2812,46,d_10,0,0,0,0,0,0,10,198010m
2813,46,d_54,0,0,0,0,0,0,54,198010m
2814,46,d_11,0,0,0,0,0,0,11,198010m
2815,46,d_55,0,0,0,0,0,0,55,198010m
2816,46,d_52,0,0,0,0,0,0,52,198010m
2817,46,d_53,0,0,0,0,0,0,53,198010m
2818,46,d_50,0,0,0,0,0,0,50,198010m
2819,46,d_51,0,0,0,0,0,0,51,198010m
2820,47,d_38,0,0,0,0,0,0,38,198010m
2821,47,d_39,0,0,0,0,0,0,39,198010m
